No,GEO,Name,Type,Ingredient,,,,,Tag,,
29,Cambodian,Mixed Sour Fruits,Dessert,Date,Tamarind,Mango,Chili,Sugar,,,
30,Cambodian,Lok Lak,Salad,Leaf Vegetable,Peppercorn,Tomato,Lime,Beef,,,
31,Cambodian,Amok Trei,Seafood,Leaf,Lemongrass,Ginger,Coconut,Fish,,,
32,Chinese,Shaobing,Bread,Sesame,Oil,Sugar,Flour,,,,
33,Chinese,Ma Lai Go,Cake,Honey,Egg,Sugar,Flour,,,,
34,Chinese,Tang Yuan,Dessert,Sesame,Ginger,Sugar,Rice,,,,
35,Chinese,Tofu Hua,Dessert,Tofu,Ginger,Sugar,,,,,
36,Chinese,Ceon Gyun,Dumpling,Oil,Mushroom,Carrot,Pork,Flour,,,
37,Chinese,Cha Ye Dan,Eggs,Five Spice Powder,Tea,Soy Sauce,Egg,Sugar,,,
38,Chinese,Sanbeiji,Meat,Basil,Sesame,Wine,Soy Sauce,Chicken,,,
39,Chinese,Bang Bang Ji,Meat,Sichuan Pepper,Sesame,Scallion,Vinegar,Chicken,,,
40,Chinese,Pai Gut,Meat,Wine,Beans,Pork,Sugar,Ginger,,,
41,Chinese,Xinjiang Yang Rou Chuan,Meat,Sichuan Pepper,Cumin,Coriander,Lamb,Garlic,,,
42,Chinese,Zhang Cha Ya,Meat,Sichuan Pepper,Tea,Wine,Honey,Duck,,,
43,Chinese,Li Hongzhang Hodgepodge,Meat,Bamboo Shoots,Ham,Stock,FIsh,Chicken,,,
44,Chinese,Moo Shu Pork,Meat,Wine,Mushroom,Egg,Soy Sauce,Pork,,,
45,Chinese,Guo Qiao Mi Xian,Noodles,Ham,Tofu,Chicken,Stock,Noodles,,,
46,Chinese,Zha Jiang Mian,Noodles,Cucumber,Bean Paste,Pork,Oil,Noodles,,,
47,Chinese,Yang Chow Chao Fan,Rice,Char Siu,Egg,Scallion,Shrimp,Rice,,,
48,Chinese,San Xian Doupi,Rice,Tofu,Rice,Pork,Mushroom,Egg,,,
49,Chinese,Qing Zheng Yu,Seafood,Coriander,Ginger,Scallion,Fish,Soy Sauce,,,
50,Chinese,Zi Ran Yu Pian,Seafood,Cumin,Caraway,Chili,Fish,Flour,,,
51,Chinese,Song Shu Yu,Seafood,Vinegar,Oil,Sugar,Soy Sauce,Fish,,,
52,Chinese,Ren Shen Ji Tang,Soup,Ginseng,Date,Ginger,Mushroom,Chicken,,,
53,Chinese,Suan La Tang,Soup,Bamboo Shoots,Tofu,Vinegar,Mushroom,Chili,,,
54,Chinese,Xiaoji Dun Mogu,Stew,Anise,Mushroom,Soy Sauce,Chicken,Noodles,,,
55,Chinese,Yang Rou Pao Mo,Stew,Five Spice Powder,Mutton,Flatbread,Mushroom,Noodles,,,
56,Chinese,Luo Han Zhai,Vegetables,Bamboo Shoots,Tofu,Mushroom,Cabbage,Soy Sauce,,,
57,Croatian,Sarma,Wrap,Sauerkraut,Rice,Pork,Beef,Cabbage,,,
58,Czech,Svickova Na Smetane,Meat,Bay Leaf,Peppercorn,Cream,Bread,Beef,,,
59,Danish,Aeblekage,Cake,Currant,Apple,Breadcrumbs,Cream,Butter,,,
60,Danish,Frikadeller,Meat,Beef,Pork,Onion,Egg,Breadcrumbs,,,
61,Danish,Rodgrod,Porridge,Raspberry,Currant,Vanilla,Flour,Milk,,,
62,Dutch,Speculoos,Cookie,Cloves,Cinnamon,Ginger,Sugar,Flour,,,
63,Dutch,Stamppot,Meat,Leaf Vegetables,Sausage,Potato,Carrot,Cabbage,,,
64,Dutch,Blinde Vink,Meat,Veal,Rosemary,Beef,Pork,Butter,,,
65,Dutch,Vlaai,Pie,Apricot,Milk,Butter,Sugar,Flour,,,
66,Filipino,Ensaymada,Bread,Sugar,Egg,Butter,Flour,Cheese,,,
67,Filipino,Bibingka,Cake,Coconut,Sugar,Egg,Milk,Rice,,,
68,Filipino,Crispy Pata,Meat,Peppercorn,Bay Leaf,Garlic,Pork,Oil,,,
69,Filipino,Lechon Cebu,Meat,Bay Leaf,Lemongrass,Garlic,Scallion,Pork,,,
70,Filipino,Pancit Molo,Soup,Chestnut,Shrimp,Pork,Soy Sauce,Stock,,,
71,Filipino,Adobong Baboy,Stew,Bay Leaf,Garlic,Pork,Vinegar,Soy Sauce,,,
72,Finish,Mammi,Dessert,Orange,Cream,Sugar,Flour,,,,
73,Finish,Ronttonen,Pie,Lingonberry,Potato,Sugar,Flour,,,,
74,Finish,Vispipuuro,Porridge,Lingonberry,Sugar,Milk,Flour,,,,
75,Finish,Lohikeitto,Soup,Dill,Salmon,Potato,Cream,Stock,,,
76,French,Gibassier,Bread,Flower,Candy Fruit,Orange,Anise,Flour,,,
77,French,Chocolate Souffle,Cake,Chocolate,Flour,Sugar,Egg,Milk,,,
78,French,Gateau Opera,Cake,Coffee,Chocolate,Almond,Sugar,Flour,,,
79,French,Madeleine,Cake,Almond,Lemon,Sugar,Egg,Flour,,,
80,French,Fondue Savoyarde,Cheese,Truffle,Nutmeg,Wine ,Bread,Cheese,,,
81,French,Macaron,Confection,Almond,Egg,Butter,Sugar,,,,
82,French,Clafoutis,Dessert,Custard,Vanilla,Cherry,Sugar,,,,
83,French,Flaugnarde,Dessert,Blueberry,Pear,Custard,Apple,Sugar,,,
84,French,Oeufs En Meurette,Eggs,Bacon,Wine,Egg,Bread,Onion,,,
85,French,Pan-Seared Foie Gras With Figs And Port,Meat,Foie Gras,Fig,Wine ,Vinegar,Bread,,,
86,French,Coq Au Vin,Meat,Wine,Bacon,Thyme,Chicken,Mushroom,,,
87,French,Andouillete,Meat,Offal,Sausage,Wine ,Onion,Pork,,,
88,French,Poulet Basquaise,Meat,Wine,Bell Peper,Chicken,Tomato,Garlic,,,
89,French,Boudin Noir Aux Pommes,Meat,Blood Sausage,Apple,Potato,Butter,,,,
90,French,Blanquette De Veau,Meat,Veal,Celery,Cream,Onion,Carrot,,,
91,French,Boeuf Bourguignon,Meat,Wine,Thyme,Beef,Mushroom,Onion,,,
92,French,Escargot,Meat,Snail,Wine,Parsley,Butter,Garlic,,,
93,French,Poulet A La Comtoise,Meat,Wine,Chicken,Sour Cream,Flour,Cheese,,,
94,French,Poulet Roti A La Provencale,Meat,Thyme,Lemon,Chicken,Garlic,Onion,,,
95,French,Gigot D'Agneau Pleureur,Meat,Lamb,Bay Leaf,Thyme,Garlic,Potato,,,
96,French,Poulet Marengo,Meat,Wine,Chicken,Mushroom,Onion,Tomato,,,
97,French,Clapassade,Meat,Lamb,Honey,Olive,Anise,Onion,,,
98,French,Confit De Canard,Meat,Fat,Duck,Wine ,Apple,Cabbage,,,
99,French,Choucroute Garnie,Meat,Juniper Berry,Wine,Sauerkraut,Sausage,Pork,,,
100,French,Lamprey A La Bordelaise,Meat,Eel,Blood,Spirit,Wine,Ham,,,
101,French,Magret De Cannard,Meat,Fat,Honey,Thyme,Orange,Vinegar,,,
102,French,Galette Saucisse,Pancake,BuckWheat,Mustard,Sausage,Egg,Milk,,,
103,French,Galette Complete,Pancake,BuckWheat,Ham,Cheese,Butter,Egg,,,
104,French,Crepe Suzette,Pancake,Spirit,Orange,Sugar,Flour,Butter,,,
105,French,Crepe,Pancake,Flour,Sugar,Milk,Egg,Butter,,,
106,French,Quiche Au Fromage,Pastry,Flour,Cheese,Egg,Milk,Cream,,,
107,French,Quiche Provencale,Pastry,Flour,Egg,Milk,Cream,Tomato,,,
108,French,Profiterole,Pastry,Vanilla,Chocolate,Sugar,Flour,Cream,,,
109,French,Ham And Cheese Croissant,Pastry,Ham,Flour,Butter,Milk,Cheese,,,
110,French,Tarte Tatin,Pastry,Apple,Butter,Sugar,Flour,,,,
111,French,Gougeres,Pastry,Flour,Cheese,Butter,Egg,,,,
112,French,Pain Au Chocolat,Pastry,Chocolate,Butter,Flour,,,,,
113,French,Quiche Lorraine,Pastry,Ham,Flour,Egg,Milk,Cheese,,,
114,French,Quiche Florentine,Pastry,Spinach,Flour,Egg,Milk,Cream,,,
115,French,Quiche Alsacianne,Pastry,Onion,Flour,Egg,Milk,Cream,,,
116,French,Pissaladiere,Pizza,Anchovy,Olive,Garlic,Onion,Flour,,,
117,French,Gratin Dauphirois,Potatoes,Truffle,Potato,Cheese,Butter,Sour Cream,,,
118,French,Tartiflette,Potatoes,Bacon,Onion,Potato,Cheese,,,,
119,French,Truffade,Potatoes,Fat,Bacon,Potato,Cheese,,,,
120,French,Salade Aveyronnaise,Salad,Blue Cheese,Walnut,Bacon,Leaf Vegetable,Vinegar,,,
121,French,Salade Nicoise,Salad,Tuna,Anchovy,Olive,Egg,Tomato,,,
122,French,Croque Madame,Sandwitch,Bechamel,Ham,Cheese,Bread,Egg,,,
123,French,Croque Monsieur,Sandwitch,Bechamel,Ham,Bread,Cheese,,,,
124,French,Quenelles De Brochet,Seafood,Fish,Egg,Milk,Flour,Butter,,,
125,French,Coquilles Saint Jacques,Seafood,Scallops,Wine,Mushroom,Cream,Cheese,,,
126,French,Sole Meuniere,Seafood,Parsley,Lemon,Fish,Flour,Butter,,,
127,French,Moules A La Crème Normande,Seafood,Mussel,Cider,Parsley,Sour Cream,Garlic,,,
128,French,Soupe A L'Oignon,Soup,Wine,Cheese,Bread,Stock,Onion,,,
129,French,Tourin,Soup,Garlic,Onion,Flour,Stock,Egg,,,
130,French,Soupe Au Pistou,Soup,Beans,Basil,Olive Oil,Garlic,Tomato,,,
131,French,Bouillabaisse,Soup,Lobster,Saffron,Thyme,Mayonaise,Fish,,,
132,French,Garbure,Soup,Ham,Beans,Thyme,Cabbage,Stock,,,
133,French,Soupe De Poisson La Rouille,Soup,Saffron,Thyme,Mayonaise,Fish,Tomato,,,
134,French,Navarin D'Agneau,Stew,Lamb,Wine,Turnip,Potato,Carrot,,,
135,French,Baeckeoffe,Stew,Mutton,Juniper Berry,Wine ,Beef,Pork,,,
136,French,Daube,Stew,Wine,Thyme,Orange,Beef,Carrot,,,
137,French,Cassoulet,Stew,Duck,Sausage,Beans,Thyme,Pork,,,
138,French,Potee Lorraine,Stew,Sausage,Turnip,Pork,Cabbage,Carrot,,,
139,French,Pot-Au-Feu,Stew,Marrow Bone,Turnip,Thyme,Beef,Carrot,,,
140,French,Ratatouille,Vegetables,Egg Plant,Bell Peper,Thyme,Onion,Tomato,,,
141,German,Butterkuchen,Cake,Almond,Butter,Sugar,Flour,,,,
142,German,Scwarzwalder Kirschtorte,Cake,Spirit,Chocolate,Cherry,Cream,Flour,,,
143,German,Zwetschgenkuchen,Cake,Plum,Egg,Sugar,Butter,Flour,,,
144,German,Frankfurter Kranz,Cake,Cherry,Almond,Sugar,Butter,Flour,,,
145,German,Lebkuchen,Cookie,Anise,Honey,Almond,Ginger,Flour,,,
146,German,Konigsberger Klopse,Meat,Veal,Capers,Anchovy,Onion,Cream,,,
147,German,Warst Mit Kartoffelsalat,Meat,Cider,Mustard,Sausage,Mayonaise,Potato,,,
148,German,Schweineschnitzel,Meat,Pork,Flour,Egg,Bread Crumbs,Butter,,,
149,German,Jagerschnitzel,Meat,Pork,Egg,Mushroom,Bread Crumbs,Cream,,,
150,German,Labskaus,Meat,Beet,Potato,Onion,Fish,Beef,,,
151,German,Wurst Mit Sauerkraut,Meat,Beer,Mustard,Sauerkraut,Sausage,,,,
152,German,Rinderrouladen,Meat,Pickle,Gravy,Bacon,Beef,Cabbage,,,
153,German,Kaese Spatzle,Pasta,Nutmeg,Pasta,Cheese,Butter,Onion,,,
154,German,Berliner,Pastry,Plum,Oil,Sugar,Butter,Flour,,,
155,German,Kartoffelsuppe,Soup,Celery,Carrot,Potato,Stock,Onion,,,
156,German,Eintopf,Stew,Bacon,Beans,Carrot,Potato,Stock,,,
157,Greek,Dakos,Bread,Oregano,Feta,Olive,Tomato,Bread,,,
158,Greek,Tyrokroketes,Cheese,Parmesan,Feta,Egg,Flour,Butter,,,
159,Greek,Saganaki,Cheese,Spirit,Anise,Lemon,Olive Oil,Cheese,,,
160,Greek,Pasteli,Confection,Pistachio,Sesame,Honey,Lemon,,,,
161,Greek,Amygdalota,Cookie,Flower,Vanilla,Almond,Sugar,Egg,,,
162,Greek,Yiaourti Me Meli,Dessert,Yogurt,Walnut,Honey,,,,,
163,Greek,Moussaka,Meat,Gravy,Lamb,Eggplant,Tomato,Onion,,,
164,Greek,Pork Gyro,Meat,Cucumber,Flatbread,Onion,Tomato,Pork,,,
165,Greek,Chicken Gyro,Meat,Cucumber,Flatbread,Onion,Tomato,Chicken,,,
166,Greek,Youvetsi,Pasta,Parmesan,Pasta,Tomato,Onion,Beef,,,
167,Greek,Tiropita,Pastry,Ricotta,Feta,Egg,Butter,Flour,,,
168,Greek,Spanakorizo,Rice,Feta,Spinach,Dill,Lemon,Rice,,,
169,Greek,Horiatiki Salata,Salad,Olive,Cucumber,Feta,Onion,Tomato,,,
170,Greek,Fakes Salata,Salad,Lentil,Feta,Olive Oil,Vinegar,Tomato,,,
171,Greek,Bourdeto,Seafood,Fish,Chili,Onion,Garlic,Tomato,,,
172,Greek,Kakavia,Soup,Celery,Onion,Olive Oil,Stock,Fish,,,
173,Greek,Fasolada,Soup,Celery,Beans,Olive Oil,Tomato,Carrot,,,
174,Greek,Magiritsa,Soup,Offal,Lamb,Dill,Onion,Stock,,,
175,Greek,Arni Me Aginares,Stew,Artichoke,Dill,Lamb,Wine,Tomato,,,
176,Greek,Yemista,Vegetables,Bell Pepper,Tomato,Rice,Beef,Onion,,,
177,Greek,Dolmadakia,Wrap,Leaf,Dill,Olive Oil,Rice,Onion,,,
178,Hungarian,Gundel Palacsinta,Pancake,Walnut,Spirit,Raisin,Chocolate,Flour,,,
179,Indonesian,Kue Lapis Legit,Cake,Cloves,Anise,Egg,Sugar,Butter,,,
180,Indonesian,Dodol Garut,Confection,Vanilla,Coconut,Sugar,Rice,Milk,,,
181,Indonesian,Dodol Nangka,Confection,Jackfruit,Coconut,Sugar,Rice,Milk,,,
182,Indonesian,Cendol,Dessert,Pandan,Ice Cream,Gelatin,Coconut,Sugar,,,
183,Indonesian,Kolak Pisang,Dessert,Pandan,Banana,Milk,Sugar,Coconut,,,
184,Indonesian,Pisang Goreng,Fritter,Banana,Sugar,Oil,Egg,Flour,,,
185,Indonesian,Saksang,Meat,Blood,Lime,Chili,Coconut,Pork,,,
186,Indonesian,Sate Ayam,Meat,Turmeric,Peanut,Sugar,Soy Sauce,Chicken,,,
187,Indonesian,Ayam Goreng,Meat,Turmeric,Bay Leaf,Coconut,Oil,Chicken,,,
188,Indonesian,Rendang Daging,Meat,Turmeric,Beef,Coconut,Ginger,Chili,,,
189,Indonesian,Rendang Ayam,Meat,Turmeric,Chicken,Coconut,Ginger,Chili,,,
190,Indonesian,Rendang Bebek,Meat,Turmeric,Duck,Coconut,Ginger,Chili,,,
191,Indonesian,Gulai Ayam,Meat,Curry,Turmeric,Coconut,Chili,Chicken,,,
192,Indonesian,Gulai Kambing,Meat,Curry,Turmeric,Coconut,Chili,Mutton,,,
193,Indonesian,Mi Celor,Noodles,Beansprouts,Shrimp,Egg,Coconut,Noodles,,,
194,Indonesian,Mi Aceh,Noodles,Crab,Curry,Shrimp,Chili,Noodles,,,
195,Indonesian,Mi Rebus,Noodles,Sweet Potato,Shrimp Paste,Curry,Peanut,Noodles,,,
196,Indonesian,Betawi Laksa,Noodles,Turmeric,Lemongrass,Shrimp,Coconut,Vermicelli,,,
197,Indonesian,Serabi Notosuman,Pancake,Chocolate,Milk,Sugar,Flour,Coconut,,,
198,Indonesian,Nasi Goreng Nanas,Rice,Pineapple,Rice,Shrimp,Onion,Chili,,,
199,Indonesian,Gado Gado,Salad,Long Beans,Peanut,Tofu,Egg,Potato,,,
200,Indonesian,Ketoprak,Salad,Peanut,Chili,Sugar,Tofu,Vermicelli,,,
201,Indonesian,Pecel,Salad,Long Beans,Bean Sprouts,Spinach,Peanut,Sugar,,,
202,Indonesian,Otak Otak,Seafood,Leaf,Tapioca,Fish,Coconut,Chili,,,
203,Indonesian,Ikan Bakar,Seafood,Shrimp Paste,Sugar,Soy Sauce,Chili,Fish,,,
204,Indonesian,Asam Pedas,Seafood,Tamarind,Chili,Ginger,Tomato,Fish,,,
205,Indonesian,Soto Ayam,Soup,Turmeric,Lemongrass,Stock,Chicken,Vermicelli,,,
206,Indonesian,Semur Daging,Stew,Nutmeg,Cloves,Sugar,Beef,Soy Sauce,,,
207,Indonesian,Tahu Goreng,Vegetables,Shrimp Paste,Peanut,Beansprouts,Chili,Tofu,,,
208,Indonesian,Terong Balado,Vegetables,Eggplant,Chili,Onion,Garlic,Sugar,,,
209,Indonesian,Gudeg,Vegetables,Leaf,Jackfruit,Bay Leaf,Sugar,Coconut,,,
210,Irish,Cottage Pie,Meat,Worcestershire Sauce,Carrot,Onion,Potato,Beef,,,
211,Irish,Steak And Guinness Pie,Meat,Beer,Bacon,Beef,Onion,Flour,,,
212,Italian,Bruschetta,Bread,Basil,Tomato,Garlic,Olive Oil,Bread,,,
213,Italian,Panettone,Bread,Candied Fruit,Raisin,Sugar,Butter,Flour,,,
214,Italian,Torta Caprese,Cake,Chocolate,Almond,Egg,Butter,Sugar,,,
215,Italian,Amaretti Di Saronno,Cookie,Spirit,Almond,Sugar,Egg,Flour,,,
216,Italian,Zabaione,Dessert,Blueberry,Custard,Raspberry,WIne,Egg,,,
217,Italian,Osso Buco,Meat,Marrow Bone,Veal,Bay Leaf,Wine,Tomato,,,
218,Italian,Pasta Arrabiata,Pasta,Pasta,Tomato,Chili,Olive Oil,Garlic,,,
219,Italian,Pizza Quattro Formaggi,Pizza,Blue Cheese,Mozarela,Parmesan,Ricotta,Flour,,,
220,Italian,Pizza Marghenta,Pizza,Mozarela,Basil,Olive Oil,Tomato,Flour,,,
221,Italian,Polenta,Porridge,Parmesan,Corn,Butter,Milk,,,,
222,Italian,Shrimp Fra Diavolo,Seafood,Wine,Chili,Garlic,Shrimp,Tomato,,,
223,Italian,Gamberi Al Rosmarino,Seafood,Rosemary,Bacon,Shrimp,Tomato,Garlic,,,
224,Italian,Cacciucco,Seafood,Mussel,Wine,Squid,Fish,Stock,,,
225,Italian,Soup Crasse,Soup,Cheese,Bread,Stock,Onion,Butter,,,
226,Italian,Finocchio Al Forno,Vegetables,Fennel,Parmesan,Butter,Cream,,,,
227,Japanese,Anpan,Bread,Red Bean,Sugar,Milk,Flour,Butter,,,
228,Japanese,Wagashi,Confection,Red Bean,Sugar,Rice,,,,,
229,Japanese,Matcha Mochi Ice Cream,Dessert,Tea,Ice Cream,Rice,Sugar,,,,
230,Japanese,Anmitsu,Dessert,Gelatin,Peach,Red Bean,Strawberry,Orange,,,
231,Japanese,Chawanmushi,Eggs,Dashi,Egg,Soy Sauce,Mushroom,Shrimp,,,
232,Japanese,Sake Kurimu Korokke,Fritter,Salmon,Onion,Cream,Milk,Bread Crumbs,,,
233,Japanese,Ebi Korokke,Fritter,Onion,Potato,Shrimp,Egg,Bread Crumbs,,,
234,Japanese,Gyuniku Korokke,Fritter,Egg,Beef,Potato,Onion,Bread Crumbs,,,
235,Japanese,Chicken Teriyaki,Meat,Mirin,Sugar,Chicken,Soy Sauce,,,,
236,Japanese,Buta No Kakuni,Meat,Dashi,Mirin,Sugar,Soy Sauce,Pork,,,
237,Japanese,Yakitori,Meat,Sake,Mirin,Soy Sauce,Sugar,Chicken,,,
238,Japanese,Shio Ramen,Noodles,Seaweed,Pork,Chicken,Stock,Noodles,,,
239,Japanese,Shoyu Ramen,Noodles,Seaweed,Egg,Soy Sauce,Stock,Noodles,,,
240,Japanese,Sukiyaki,Noodles,Dashi,Sugar,Soy Sauce,Beef,Noodles,,,
241,Japanese,Zaru Soba,Noodles,Buckwheat,Mirin,Seaweed,Scallion,Soy Sauce,,,
242,Japanese,Yakisoba,Noodles,Worcestershire Sauce,Noodles,Cabbage,Pork,Onion,,,
243,Japanese,Tonkotsu Ramen,Noodles,Seaweed,Sesame,Pork,Stock,Noodles,,,
244,Japanese,Hokkaido Ramen,Noodles,Bean Paste,Corn,Butter,Stock,Noodles,,,
245,Japanese,Miso Ramen,Noodles,Bean Paste,Seaweed,Egg,Stock,Noodles,,,
246,Japanese,Okonomiyaki,Pancake,Worcestershire Sauce,Yam,Sauerkraut,Cabbage,Flour,,,
247,Japanese,Omurice,Rice,Ketchup,Egg,Carrot,Rice,Chicken,,,
248,Japanese,Oyakodon,RIce,Dashi,Soy Sauce,Egg,Chicken,Rice,,,
249,Japanese,Curry Rice,Rice,Curry,Carrot,Rice,Beef,Potato,,,
250,Japanese,Katsudon,Rice,Dashi,Mirin,Egg,Pork,Rice,,,
251,Japanese,Hayashi Rice,Rice,Wine,Onion,Tomato,Rice,Beef,,,
252,Japanese,Gyudon,Rice,Sake,Dashi,Soy Sauce,Beef,Rice,,,
253,Japanese,Unadon,Rice,Eel,Mirin,Soy Sauce,Sugar,Rice,,,
254,Japanese,Sake Zushi,Rice,Sake,Octopus,Shrimp,Mushroom,Rice,,,
255,Japanese,Onigiri,RIce,Plum,Pickle,Seaweed,RIce,Fish,,,
256,Japanese,Gomokuzushi,Rice,Seaweed,Egg,Carrot,Mushroom,Rice,,,
257,Japanese,Tekkadon,Rice,Sake,Mirin,Tuna,Soy Sauce,Rice,,,
258,Japanese,Kamameshi,RIce,Mirin,Soy Sauce,Chicken,Mushroom,Rice,,,
259,Japanese,Edomae Chirashizushi,Rice,Seaweed,Salmon,Tuna,Shrimp,RIce,,,
260,Japanese,Gindara Teriyaki,Seafood,Mirin,Soy Sauce,Sugar,Fish,,,,
261,Japanese,Ebi Tempura,Seafood,Dashi,Turnip,Soy Sauce,Shrimp,Flour,,,
262,Japanese,Takoyaki,Seafood,Worcestershire Sauce,Octopus,Seaweed,Sauekraut,Flour,,,
263,Japanese,Oden,Stew,Fish Cake,Dashi,Soy Sauce,Tofu,Egg,,,
264,Japanese,Yasai Tempura,Vegetables,Bread Crumbs,Onion,Mushroom,Carrot,Potato,,,
265,Korean,Red Bean Bingsu,Dessert,Ice Cream,Condensed Milk,Red Bean,Rice,,,,
266,Korean,Buldak,Meat,Gochujang,Cheese,Chili,Rice,Chicken,,,
267,Korean,Makchang Gui,Meat,Offal,Bean Paste,Scallion,Garlic,,,,
268,Korean,Dakjjim,Meat,Chicken,Soy Sauce,Chili,Sugar,Noodles,,,
269,Korean,Samgyeopsal,Meat,Leaf,Sesame,Onion,Garlic,Pork,,,
270,Korean,Bulgogi,Meat,Sesame,Garlic,Soy Sauce,Beef,Sugar,,,
271,Korean,Dak Galbi,Meat,Sweet Potato,Gochujang,Cabbage,Chicken,Rice,,,
272,Korean,Jajangmyeon,Noodles,Bean Paste,Pork,Onion,Sugar,Noodles,,,
273,Korean,Japchae,Noodles,Sweet Potato,Sesame,Onion,Carrot,Noodles,,,
274,Korean,Mul Naengmyeon,Noodles,Pear,Buckwheat,Cucumber,Egg,Vinegar,,,
275,Korean,Bibim Naengmyeon,Noodles,Pear,Buckwheat,Gochujang,Cucumber,Egg,,,
276,Korean,Kimchi Jeon,Pancake,Kimchi,Onion,Pork,Flour,Egg,,,
277,Korean,Pajeon,Pancake,Scallion,Egg,Flour,Oil,,,,
278,Korean,Bindaetteok,Pancake,Kimchi,Bean Sprouts,Beans,Scallion,Pork,,,
279,Korean,Hotteok,Pancake,Cinnamon,Peanut,Honey,Sugar,Flour,,,
280,Korean,Dakjuk,Porridge,Scallion,Garlic,Stock,Rice,Chicken,,,
281,Korean,Hobakjuk,Porridge,Pine Nut,Squash,Sugar,RIce,,,,
282,Korean,Tteokbokki,Rice,Fish Cake,Gochujang,Sugar,Egg,Rice,,,
283,Korean,Bibimbap,Rice,Gochujang,Spinach,Bean Sprouts,Mushroom,Rice,,,
284,Korean,Gimbap,Rice,Pickle,Seaweed,Spinach,Egg,Rice,,,
285,Korean,Galbitang,Soup,Turnip,Beef,Stock,Onion,Garlic,,,
286,Korean,Manduguk,Soup,Chives,Anchovy,Pork,Mushroom,Stock,,,
287,Korean,Samgyetang,Soup,Ginseng,Date,Garlic,Rice,Chicken,,,
288,Korean,Haemul Sundubu Jjigae,Stew,Clams,Kimchi,Stock,Egg,Tofu,,,
289,Korean,Galbijjim,Stew,Turnip,Carrot,Beef,Sugar,Soy Sauce,,,
290,Korean,Kimchi Jjigae,Stew,Kimchi,Pork,Scallion,Tofu,Onion,,,
291,Korean,Budae Jjigae,Stew,Gochujang,Kimchi,Sausage,Cabbage,Noodles,,,
292,Korean,Doenjang Jjigae,Stew,Squash,Bean Paste,Tofu,Onion,Chili,,,
293,Lao,Nam Khao,Salad,Leaf Vegetables,Peanut,Sausage,Coconut,Rice,,,
294,Lao,Mu Nam Tok,Salad,Mint,Lime,Chili,Fish Sauce,Pork,,,
295,Lao,Larb Mu,Salad,Lime,Chili,Fish Sauce,Rice,Pork,,,
296,Lao,Tam Mak Hoong,Salad,Papaya,Lime,Sugar ,Chili,Fish Sauce,,,
297,Lao,Ping Sin Nam Tok,Salad,Blood,Beef,Chili,Fish Sauce,Lime,,,
298,Lao,Khao Jee,Sandwich,Offal,Coriander,Sausage,Cucumber,Bread,,,
299,Luxembourgish,Judd Mat Gaardebounen,Meat,Cloves,Gravy,Bean,Carrot,Pork,,,
